City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Faya,SA,18.3851,42.4509,68.11,63,75,4.23,broken clouds
317,Imeni Poliny Osipenko,RU,52.4201,136.4853,65.16,99,100,3.8,moderate rain
318,Hun,LY,29.1268,15.9477,81.37,28,0,17.78,clear sky
319,Hede,CN,33.7681,120.2517,78.03,93,100,22.3,light rain
320,Husavik,IS,66.0449,-17.3389,53.51,75,85,4.59,overcast clouds
321,San Jose,US,37.3394,-121.895,95.27,32,75,3.0,broken clouds
322,Kajaani,FI,64.2273,27.7285,60.85,100,44,2.3,scattered clouds
323,Manakara,MG,-22.1333,48.0167,60.01,93,47,8.68,light rain
324,Hami,CN,42.8,93.45,83.19,21,5,12.59,clear sky
325,Road Town,VG,18.4167,-64.6167,84.24,79,40,8.05,scattered clouds
326,Port Said,EG,31.2565,32.2841,80.31,73,0,7.92,clear sky
327,Mayya,RU,61.7333,130.2811,74.52,65,49,7.2,scattered clouds
328,College,US,64.8569,-147.8028,70.23,52,75,8.05,light rain
329,Kommunar,RU,59.6206,30.39,63.93,68,16,2.62,few clouds
330,Hanzhong,CN,33.0728,107.0303,69.01,78,79,2.01,broken clouds
331,Saldanha,ZA,-33.0117,17.9442,55.45,83,33,9.44,scattered clouds
332,Muncar,ID,-8.4333,114.3333,72.07,88,42,1.79,scattered clouds
333,Tirur,IN,10.9,75.9167,76.19,91,99,4.36,overcast clouds
334,Tessalit,ML,20.1986,1.0114,88.77,37,62,15.08,broken clouds
335,Hailar,CN,49.2,119.7,60.24,99,89,3.78,overcast clouds
336,Pekalongan,ID,-6.8886,109.6753,72.01,73,1,4.34,clear sky
337,Oda,JP,35.1833,132.5,75.97,84,18,2.57,few clouds
