City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Kutum,SD,2021-07-24 15:43:04,14.2,24.6667,87.66,34,81,10.07
228,Bubaque,GW,2021-07-24 15:43:05,11.2833,-15.8333,79.43,74,96,6.58
229,Shimoda,JP,2021-07-24 15:43:05,34.6667,138.95,76.1,84,0,6.35
230,Mwinilunga,ZM,2021-07-24 15:43:06,-11.7358,24.4293,74.34,30,16,8.84
231,Lompoc,US,2021-07-24 15:43:06,34.6391,-120.4579,67.93,92,90,3.44
232,Kasongo-Lunda,CD,2021-07-24 15:43:07,-6.4667,16.8167,92.86,16,0,4.27
233,Iranshahr,IR,2021-07-24 15:43:07,27.2025,60.6848,102.54,30,40,18.41
234,Storforshei,NO,2021-07-24 15:43:08,66.4043,14.5233,53.65,93,75,3.44
235,Emba,KZ,2021-07-24 15:43:08,48.8264,58.1442,81.19,41,62,12.68
236,Chenghai,CN,2021-07-24 15:43:08,23.4632,116.768,82.31,100,0,2.24
237,Bilibino,RU,2021-07-24 15:29:43,68.0546,166.4372,43.79,82,57,1.34
238,Neiafu,TO,2021-07-24 15:43:09,-18.65,-173.9833,75.88,88,20,0.0
239,Maniitsoq,GL,2021-07-24 15:33:35,65.4167,-52.9,39.99,77,47,9.44
240,Inyonga,TZ,2021-07-24 15:43:09,-6.7167,32.0667,74.64,27,27,7.78
241,Leirvik,NO,2021-07-24 15:43:10,59.7798,5.5005,64.81,80,13,3.53
242,Tevaitoa,PF,2021-07-24 15:43:10,-16.7833,-151.5,77.74,63,4,12.97
243,Norman Wells,CA,2021-07-24 15:40:05,65.282,-126.8329,55.44,71,75,11.5
244,Guerande,FR,2021-07-24 15:43:11,47.3291,-2.4283,67.96,85,100,24.54
245,San Patricio,US,2021-07-24 15:33:24,28.017,-97.5169,87.89,51,0,13.51
246,Ambilobe,MG,2021-07-24 15:43:11,-13.2,49.05,70.77,71,92,2.62
247,Buraydah,SA,2021-07-24 15:43:12,26.326,43.975,109.85,11,2,4.63
248,Korla,CN,2021-07-24 15:43:12,41.7597,86.1469,93.31,18,0,6.15
249,Leticia,CO,2021-07-24 15:43:12,-4.2153,-69.9406,86.05,70,0,4.61
250,Khuzhir,RU,2021-07-24 15:43:13,53.1939,107.3397,56.97,77,5,5.19
251,Krasna Lipa,CZ,2021-07-24 15:43:13,50.4838,13.3575,79.32,53,83,8.1
252,Dunedin,NZ,2021-07-24 15:43:13,-45.8742,170.5036,43.81,81,47,11.99
253,Pacific Grove,US,2021-07-24 15:33:29,36.6177,-121.9166,59.43,92,90,1.01
254,Shrewsbury,GB,2021-07-24 15:43:14,52.7101,-2.7521,75.22,67,75,10.36
255,Ananindeua,BR,2021-07-24 15:43:14,-1.3656,-48.3722,87.71,55,20,5.75
256,Puerto Colombia,CO,2021-07-24 15:43:15,10.9878,-74.9547,87.89,70,100,5.06
257,Maldonado,UY,2021-07-24 15:40:27,-34.6667,-54.9167,61.99,72,94,11.63
258,Boa Vista,BR,2021-07-24 15:43:15,2.8197,-60.6733,84.18,65,75,2.3
259,Puerto Madryn,AR,2021-07-24 15:41:54,-42.7692,-65.0385,48.96,43,100,19.04
260,Melk,AT,2021-07-24 15:43:16,48.2274,15.3319,89.15,48,28,6.64
261,Kang,BW,2021-07-24 15:43:16,-23.6752,22.7876,55.63,31,0,7.85
262,Zhanaozen,KZ,2021-07-24 15:33:55,43.3,52.8,91.6,33,11,12.39
263,Viransehir,TR,2021-07-24 15:43:17,37.2353,39.7631,94.8,12,0,9.24
264,Tallahassee,US,2021-07-24 15:40:37,30.4383,-84.2807,81.07,78,75,6.91
